Id,Neighborhood,OverallQual,OverallCond,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,YrSold,SalePrice
525,NoRidge,7,5,2398,2,1,8,2007,315750
526,Somerst,7,5,1266,2,0,6,2006,176000
527,NAmes,5,7,928,1,0,4,2007,132000
528,NridgHt,9,5,2713,2,1,11,2008,446261
529,Edwards,4,7,605,1,0,5,2007,86000
530,Crawfor,6,3,2515,3,0,9,2007,200624
531,Timber,6,5,1509,2,0,5,2008,175000
532,BrkSide,6,8,1362,2,0,6,2008,128000
533,NAmes,5,7,827,1,0,5,2010,107500
534,BrkSide,1,3,334,1,0,2,2007,39300
535,Gilbert,8,5,1414,2,1,6,2006,178000
536,Edwards,5,7,1347,1,0,5,2008,107500
537,CollgCr,7,5,1724,2,1,8,2008,188000
538,NAmes,4,5,864,1,0,5,2008,111250
539,Sawyer,5,5,1159,1,1,7,2006,158000
540,CollgCr,8,5,1601,2,0,6,2010,272000
541,Timber,9,5,1838,2,0,8,2009,315000
542,NoRidge,8,5,2285,2,1,8,2007,248000
543,NWAmes,7,5,1680,2,0,7,2009,213250
544,NAmes,7,5,767,1,0,4,2007,133000
545,Gilbert,7,5,1496,2,1,7,2006,179665
546,NWAmes,7,5,2183,2,1,9,2006,229000
547,BrkSide,6,7,1635,1,1,6,2007,210000
548,Mitchel,5,7,768,1,0,5,2007,129500
549,OldTown,5,7,825,1,0,4,2008,125000
550,Somerst,7,5,2094,2,1,8,2009,263000
551,NPkVill,6,6,1069,2,0,4,2008,140000
552,OldTown,5,6,928,1,0,5,2008,112500
553,NridgHt,8,5,1717,2,0,7,2009,255500
554,Edwards,4,5,1126,2,0,5,2009,108000
555,NridgHt,7,5,2046,2,1,8,2008,284000
556,BrkSide,5,6,1048,1,0,5,2006,113000
557,NAmes,5,5,1092,1,0,6,2006,141000
558,IDOTRR,4,6,1336,1,1,7,2006,108000
559,Gilbert,7,5,1446,2,1,6,2008,175000
560,Blmngtn,7,5,1557,2,0,7,2006,234000
561,Sawyer,5,6,1392,1,1,5,2010,121500
562,Mitchel,5,5,1389,1,0,6,2006,170000
563,Edwards,5,6,996,1,0,6,2008,108000
564,Edwards,6,7,1674,2,0,8,2008,185000
565,NoRidge,7,5,2295,2,1,9,2006,268000
566,SWISU,6,4,1647,1,1,6,2010,128000
567,StoneBr,9,5,2504,2,1,11,2008,325000
568,NridgHt,7,5,1535,2,0,7,2010,214000
569,SawyerW,8,8,2132,1,1,5,2009,316600
570,NAmes,5,5,943,1,0,4,2006,135960
571,NAmes,5,5,1728,2,0,10,2008,142600
572,NAmes,6,6,864,1,0,4,2006,120000
573,Timber,7,5,1692,2,1,6,2009,224500
574,Gilbert,7,5,1430,2,1,8,2007,170000
575,NAmes,5,7,1109,1,0,5,2007,139000
576,NAmes,5,5,1216,1,0,6,2008,118500
577,SWISU,7,7,1477,2,0,6,2009,145000
578,Sawyer,5,6,1320,1,0,6,2006,164500
579,Somerst,7,5,1392,2,0,5,2008,146000
580,OldTown,5,5,1795,2,0,7,2008,131500
581,NAmes,6,6,1429,1,0,7,2007,181900
582,NridgHt,8,5,2042,2,1,8,2009,253293
583,Edwards,6,5,816,1,0,5,2007,118500
584,OldTown,10,9,2775,3,1,9,2008,325000
585,BrkSide,4,7,1573,1,0,6,2009,133000
586,Timber,8,5,2028,2,0,7,2006,369900
587,BrkSide,6,7,838,1,0,5,2008,130000
588,Sawyer,5,6,860,1,0,4,2009,137000
589,ClearCr,5,8,1473,1,0,5,2009,143000
590,BrkSide,5,6,935,1,0,4,2008,79500
591,CollgCr,7,5,1582,2,1,6,2008,185900
592,NridgHt,10,5,2296,2,1,10,2009,451950
593,Mitchel,5,8,816,1,0,4,2008,138000
594,CollgCr,6,5,848,1,0,4,2009,140000
595,CollgCr,5,6,924,1,0,5,2008,110000
596,StoneBr,8,5,1826,2,0,7,2006,319000
597,OldTown,6,7,1368,1,0,7,2006,114504
598,Blmngtn,7,5,1402,0,2,7,2007,194201
599,Crawfor,5,6,1647,2,0,7,2006,217500
600,Blueste,6,6,1556,2,1,6,2008,151000
601,NridgHt,8,5,1904,2,1,8,2006,275000
602,IDOTRR,6,6,1375,1,1,6,2007,141000
603,SawyerW,8,5,1915,2,1,8,2006,220000
604,Somerst,7,5,1200,2,1,4,2010,151000
605,CollgCr,7,5,1494,2,0,6,2008,221000
606,NAmes,7,6,1986,2,1,7,2009,205000
607,CollgCr,5,5,1040,1,0,6,2009,152000
608,Edwards,5,8,2008,3,0,8,2006,225000
609,Crawfor,8,6,3194,2,1,10,2007,359100
610,Sawyer,4,5,1029,1,0,5,2007,118500
611,CollgCr,9,5,2153,2,1,8,2009,313000
612,NWAmes,6,6,1032,2,0,6,2007,148000
613,CollgCr,8,5,1872,2,1,7,2009,261500
614,Mitchel,5,5,1120,1,0,6,2007,147000
615,MeadowV,4,6,630,1,0,3,2010,75500
616,NAmes,6,7,1054,1,0,6,2010,137500
617,Gilbert,6,5,1509,2,1,7,2006,183200
618,NAmes,6,6,832,1,0,4,2008,105500
619,NridgHt,9,5,1828,2,0,9,2007,314813
620,Timber,8,5,2262,2,1,10,2008,305000
621,Edwards,3,3,864,1,0,5,2008,67000
622,NWAmes,6,7,2614,2,1,9,2008,240000
623,Sawyer,5,6,980,1,0,6,2009,135000
624,Somerst,6,5,1512,2,1,4,2007,168500
625,NWAmes,6,5,1790,1,2,8,2006,165150
626,NAmes,6,6,1116,1,1,5,2010,160000
627,NAmes,5,5,1422,1,0,6,2007,139900
628,NAmes,6,6,1520,1,0,7,2010,153000
629,NAmes,5,5,2080,1,2,9,2007,135000
630,NAmes,6,5,1350,1,1,6,2008,168500
631,OldTown,5,6,1750,1,0,8,2006,124000
632,NridgHt,8,5,1554,2,0,6,2007,209500
633,NWAmes,7,5,1411,2,0,6,2009,82500
634,NAmes,5,7,1056,1,0,6,2007,139400
635,OldTown,6,5,1056,0,0,4,2010,144000
636,SWISU,6,7,3395,2,0,14,2007,200000
637,BrkSide,2,3,800,1,0,4,2009,60000
638,OldTown,5,4,1387,2,0,7,2009,93000
639,Edwards,5,7,796,1,0,4,2008,85000
640,Blmngtn,8,5,1567,2,0,7,2006,264561
641,NridgHt,8,5,1518,1,1,6,2008,274000
642,Somerst,7,5,1929,2,1,7,2007,226000
643,NAmes,8,7,2704,2,1,9,2009,345000
644,NWAmes,5,5,1620,2,1,7,2007,152000
645,Somerst,9,5,1766,2,1,7,2009,370878
646,NAmes,6,5,981,1,1,5,2007,143250
647,NAmes,5,5,1048,1,0,7,2008,98300
648,Edwards,6,5,1094,1,0,5,2008,155000
649,NAmes,6,5,1839,1,1,7,2010,155000
650,MeadowV,4,6,630,1,0,3,2007,84500
651,Somerst,7,6,1665,2,1,7,2008,205950
652,Edwards,4,5,1510,1,0,7,2009,108000
653,CollgCr,7,5,1716,2,1,7,2009,191000
654,IDOTRR,6,7,1469,1,0,7,2008,135000
655,NoRidge,8,6,2113,2,1,7,2008,350000
656,BrDale,6,5,1092,1,1,6,2010,88000
657,NAmes,5,7,1053,1,1,5,2008,145500
658,Crawfor,7,6,1502,1,1,6,2008,149000
659,NAmes,6,5,1458,1,0,6,2010,97500
660,Edwards,5,7,1486,1,0,7,2009,167000
661,NWAmes,7,7,1935,2,1,7,2007,197900
662,NoRidge,8,7,2448,2,1,8,2009,402000
663,NAmes,6,3,1392,1,0,5,2009,110000
664,Edwards,4,5,1181,2,0,6,2008,137500
665,Somerst,8,5,2097,1,1,8,2006,423000
666,Gilbert,8,5,1936,2,1,7,2006,230500
667,NAmes,6,5,2380,2,1,7,2007,129000
668,SawyerW,6,5,1679,2,0,7,2008,193500
669,Sawyer,5,6,1437,1,1,6,2006,168000
670,Crawfor,4,5,1180,1,0,5,2006,137500
671,CollgCr,6,5,1476,2,1,7,2009,173500
672,Edwards,6,6,1369,2,0,6,2009,103600
673,Veenker,6,6,1208,1,1,6,2006,165000
674,Crawfor,6,7,1839,2,0,7,2007,257500
675,NAmes,6,6,1136,1,0,5,2008,140000
676,NPkVill,6,6,1441,2,1,7,2009,148500
677,OldTown,4,2,1774,2,0,8,2006,87000
678,OldTown,5,8,792,1,0,5,2009,109500
679,StoneBr,8,5,2046,2,1,7,2009,372500
680,Sawyer,5,5,988,1,0,5,2007,128500
681,SawyerW,6,5,923,2,0,5,2010,143000
682,SWISU,5,5,1520,1,0,6,2009,159434
683,ClearCr,6,5,1291,1,0,6,2008,173000
684,CollgCr,9,5,1668,2,0,7,2007,285000
685,NoRidge,7,5,1839,2,1,7,2010,221000
686,StoneBr,7,5,2090,2,0,6,2007,207500
687,Somerst,7,6,1761,3,0,7,2007,227875
688,Somerst,7,5,1102,2,1,4,2007,148800
689,StoneBr,8,6,1419,2,0,7,2007,392000
690,NridgHt,6,5,1362,2,0,6,2007,194700
691,CollgCr,6,5,848,1,0,3,2008,141000
692,NoRidge,10,6,4316,3,1,10,2007,755000
693,Timber,7,5,2519,2,1,9,2006,335000
694,OldTown,5,6,1073,1,0,4,2006,108480
695,BrkSide,5,6,1539,1,1,5,2009,141500
696,Timber,6,6,1137,2,0,5,2006,176000
697,BrkSide,5,7,616,1,0,4,2006,89000
698,Edwards,5,7,1148,1,0,6,2006,123500
699,Sawyer,5,8,894,1,0,5,2010,138500
700,Somerst,7,5,1391,2,0,5,2008,196000
701,Timber,8,5,1800,2,0,7,2006,312500
702,NWAmes,7,5,1164,1,1,6,2006,140000
703,StoneBr,8,5,2576,2,1,10,2006,361919
704,OldTown,5,9,1812,2,0,8,2010,140000
705,CollgCr,7,5,1484,2,0,7,2010,213000
706,IDOTRR,4,5,1092,2,0,7,2010,55000
707,ClearCr,7,5,1824,2,0,5,2007,302000
708,NridgHt,8,5,1324,2,0,6,2009,254000
709,Gilbert,7,5,1456,2,1,8,2007,179540
710,Sawyer,5,7,904,1,0,6,2008,109900
711,BrkSide,3,6,729,1,0,5,2008,52000
712,IDOTRR,4,7,1178,1,0,7,2010,102776
713,StoneBr,8,5,1228,2,0,5,2008,189000
714,BrkSide,4,5,960,1,0,6,2006,129000
715,Sawyer,6,8,1479,2,1,6,2010,130500
716,NWAmes,6,5,1350,2,0,7,2009,165000
717,OldTown,7,8,2554,1,1,8,2007,159500
718,NWAmes,5,6,1178,1,1,5,2008,157000
719,NoRidge,7,5,2418,2,1,9,2008,341000
720,CollgCr,5,6,971,1,1,5,2006,128500
721,StoneBr,8,5,1742,2,0,5,2006,275000
722,CollgCr,6,5,848,1,0,3,2010,143000
723,NAmes,4,7,864,1,0,5,2009,124500
724,Edwards,4,6,1470,2,0,7,2008,135000
725,Edwards,9,5,1698,2,0,8,2009,320000
726,NAmes,4,6,864,1,0,5,2009,120500
727,Crawfor,6,9,1680,2,0,5,2009,222000
728,CollgCr,7,5,1232,2,0,6,2009,194500
729,NAmes,5,5,1776,2,0,9,2009,110000
730,IDOTRR,4,5,1208,1,0,5,2009,103000
731,StoneBr,8,5,1616,2,0,5,2010,236500
732,Timber,7,5,1146,2,0,6,2007,187500
733,CollgCr,7,5,2031,2,1,8,2008,222500
734,Sawyer,5,6,1144,1,0,6,2009,131400
735,Sawyer,5,5,948,1,0,6,2007,108000
736,OldTown,7,7,1768,1,1,6,2006,163000
737,NAmes,3,4,1040,2,0,6,2006,93500
738,Gilbert,8,5,1801,2,1,8,2006,239900
739,Edwards,5,5,1200,3,0,5,2009,179000
740,CollgCr,7,5,1728,2,1,7,2009,190000
741,OldTown,5,7,1432,2,0,7,2007,132000
742,Sawyer,6,8,912,1,0,5,2008,142000
743,SawyerW,7,5,1349,2,0,6,2007,179000
744,Sawyer,5,6,1464,2,0,6,2009,175000
745,StoneBr,8,5,1337,2,0,5,2008,180000
746,NWAmes,8,9,2715,3,1,11,2008,299800
747,Gilbert,7,5,2256,2,1,8,2009,236000
748,OldTown,7,7,2640,1,1,8,2009,265979
749,NoRidge,7,5,1720,2,0,7,2010,260400
750,Edwards,4,3,1529,2,0,9,2009,98000
751,OldTown,4,7,1140,1,0,7,2010,96500
752,Gilbert,7,5,1320,2,1,6,2007,162000
753,CollgCr,6,5,1494,2,0,6,2006,217000
754,NridgHt,8,5,2098,2,1,8,2006,275500
755,NAmes,6,8,1026,1,0,5,2009,156000
756,Somerst,6,5,1471,2,1,6,2009,172500
757,CollgCr,8,5,1768,2,1,7,2009,212000
758,Sawyer,6,5,1386,2,1,6,2010,158900
759,Somerst,7,5,1501,2,1,6,2008,179400
760,NoRidge,8,5,2531,2,1,9,2007,290000
761,NAmes,6,6,864,1,0,5,2009,127500
762,BrkSide,5,5,1301,1,0,5,2009,100000
763,Somerst,7,5,1547,2,1,7,2010,215200
764,NoRidge,8,5,2365,2,1,8,2009,337000
765,Veenker,8,5,1494,1,1,6,2006,270000
766,Somerst,9,5,1506,2,0,6,2008,264132
767,NWAmes,7,5,1714,2,1,7,2010,196500
768,Mitchel,6,7,1750,2,0,7,2008,160000
769,CollgCr,7,5,1836,2,0,8,2006,216837
770,StoneBr,8,5,3279,3,1,12,2010,538000
771,Sawyer,5,5,858,1,0,5,2009,134900
772,Edwards,4,5,1220,1,0,6,2006,102000
773,Edwards,6,5,1117,1,0,6,2010,107000
774,NAmes,5,5,912,1,0,5,2007,114500
775,NridgHt,8,5,1973,2,0,9,2007,395000
776,Mitchel,6,5,1204,2,0,5,2009,162000
777,CollgCr,7,5,1614,2,0,7,2006,221500
778,Sawyer,5,5,894,1,0,5,2006,142500
779,SawyerW,5,5,2020,2,0,10,2007,144000
780,Mitchel,6,5,1004,1,0,4,2006,135000
781,Gilbert,7,5,1253,2,0,6,2007,176000
782,SawyerW,6,5,1603,2,1,7,2006,175900
783,CollgCr,7,5,1430,2,0,6,2009,187100
784,Mitchel,5,6,1110,1,0,4,2009,165500
785,OldTown,6,6,1484,2,0,9,2008,128000
786,NWAmes,6,5,1342,2,0,7,2009,161500
787,OldTown,5,6,1652,2,0,7,2010,139000
788,SawyerW,7,5,2084,2,1,8,2010,233000
789,OldTown,4,7,901,1,0,4,2008,107900
790,ClearCr,6,8,2087,2,1,9,2007,187500
791,Blmngtn,7,5,1145,2,0,5,2009,160200
792,Mitchel,6,5,1062,1,0,5,2007,146800
793,NoRidge,7,5,2013,2,1,8,2007,269790
794,Somerst,8,5,1496,2,0,7,2007,225000
795,Gilbert,7,5,1895,2,1,7,2008,194500
796,SawyerW,6,6,1564,2,1,7,2010,171000
797,Sawyer,6,5,1285,1,1,7,2007,143500
798,NAmes,5,5,773,1,0,4,2008,110000
799,NridgHt,9,5,3140,3,1,11,2009,485000
800,SWISU,5,7,1768,1,1,7,2007,175000
801,ClearCr,6,5,1688,2,1,8,2008,200000
802,IDOTRR,4,7,1196,1,0,5,2007,109900
803,CollgCr,7,5,1456,2,1,7,2008,189000
804,NridgHt,9,5,2822,3,1,12,2009,582933
805,NAmes,5,5,1128,1,0,5,2006,118000
806,Somerst,7,5,1428,2,0,6,2008,227680
807,NAmes,5,5,980,2,0,6,2006,135500
808,BrkSide,5,6,1576,1,1,6,2009,223500
809,NAmes,5,5,1086,1,0,6,2006,159950
810,OldTown,5,5,2138,2,0,11,2009,106000
811,NWAmes,6,6,1309,1,1,5,2006,181000
812,CollgCr,6,5,848,1,0,4,2008,144500
813,IDOTRR,5,5,1044,1,0,4,2010,55993
814,NAmes,6,6,1442,1,1,7,2007,157900
815,Edwards,5,7,1250,1,1,7,2006,116000
816,CollgCr,7,5,1661,2,0,6,2010,224900
817,NAmes,5,6,1008,1,0,4,2006,137000
818,Mitchel,8,5,1689,2,0,7,2008,271000
819,ClearCr,6,7,1052,1,0,6,2010,155000
820,NridgHt,7,5,1358,2,0,6,2010,224000
821,CollgCr,7,5,1640,2,1,6,2008,183000
822,OldTown,4,4,936,1,0,4,2009,93000
823,Gilbert,7,5,1733,2,1,7,2007,225000
824,SWISU,6,7,1489,2,0,7,2009,139500
825,Somerst,8,5,1489,2,0,7,2006,232600
826,NridgHt,10,5,2084,2,0,7,2008,385000
827,BrkSide,5,6,784,1,0,5,2008,109500
828,SawyerW,7,5,1434,2,0,6,2009,189000
829,ClearCr,5,5,2126,2,1,7,2009,185000
830,Somerst,7,5,1223,2,1,4,2006,147400
831,NAmes,6,5,1392,1,1,6,2008,166000
832,Somerst,7,5,1200,2,1,4,2006,151000
833,CollgCr,7,6,1829,2,1,7,2010,237000
834,NAmes,6,6,1516,1,1,6,2009,167000
835,NAmes,5,6,1144,1,0,6,2008,139950
836,Sawyer,4,7,1067,2,0,4,2010,128000
837,OldTown,5,6,1559,1,0,5,2007,153500
838,BrDale,6,5,987,1,1,5,2008,100000
839,CollgCr,5,6,1099,1,1,6,2008,144000
840,Edwards,5,6,1200,1,0,6,2008,130500
841,SWISU,6,8,1482,2,0,7,2008,140000
842,OldTown,5,8,1539,2,0,8,2008,157500
843,NAmes,6,7,1165,1,1,6,2008,174900
844,NAmes,5,4,1800,2,0,10,2007,141000
845,OldTown,5,8,1416,1,1,7,2008,153900
846,Sawyer,5,5,1701,2,0,6,2007,171000
847,SawyerW,7,5,1775,2,1,7,2009,213000
848,CollgCr,5,6,864,1,0,5,2009,133500
849,ClearCr,6,8,2358,3,0,10,2008,240000
850,Veenker,6,7,1855,2,1,7,2007,187000
851,CollgCr,6,5,848,1,0,3,2007,131500
852,Blmngtn,8,5,1456,2,0,7,2006,215000
853,Crawfor,7,5,1646,2,0,7,2007,164000
854,NAmes,6,6,1445,1,1,7,2009,158000
855,Sawyer,5,4,1779,1,1,6,2006,170000
856,Sawyer,5,8,1040,1,1,6,2010,127000
857,CollgCr,6,6,1026,1,0,5,2008,147000
858,Gilbert,6,5,1481,2,1,6,2009,174000
859,NWAmes,7,5,1370,2,0,6,2009,152000
860,NWAmes,6,7,2654,2,1,9,2006,250000
861,Crawfor,7,8,1426,1,1,7,2007,189950
862,Sawyer,5,4,1039,1,1,6,2010,131500
863,SawyerW,6,5,1097,2,0,6,2010,152000
864,NAmes,5,5,1148,1,0,6,2009,132500
865,Somerst,7,5,1372,2,0,6,2008,250580
866,NAmes,5,6,1002,1,0,5,2009,148500
867,Timber,8,5,1646,2,0,6,2007,248900
868,Sawyer,4,5,1120,1,1,5,2007,129000
869,Gilbert,5,6,2320,2,0,7,2006,169000
870,SawyerW,7,5,1949,2,1,8,2010,236000
871,NAmes,5,5,894,1,0,5,2009,109500
872,CollgCr,6,5,1682,2,1,7,2010,200500
873,NAmes,5,7,910,1,0,5,2008,116000
874,NAmes,5,7,1268,1,0,6,2009,133000
875,OldTown,5,6,1131,1,1,5,2009,66500
876,Somerst,8,5,2610,2,1,11,2007,303477
877,Mitchel,4,5,1040,1,0,5,2007,132250
878,NridgHt,9,5,2224,2,1,10,2009,350000
879,Sawyer,5,7,1155,1,0,6,2010,148000
880,CollgCr,5,8,864,1,0,6,2009,136500
881,Edwards,5,5,1090,1,1,5,2007,157000
882,Timber,7,5,1717,2,1,7,2007,187500
883,Gilbert,6,5,1593,2,1,7,2009,178000
884,SWISU,4,5,2230,1,0,10,2006,118500
885,NAmes,5,5,892,1,0,5,2009,100000
886,Somerst,9,5,1709,2,0,5,2008,328900
887,NAmes,5,5,1712,2,0,8,2006,145000
888,Edwards,5,7,1393,1,1,8,2008,135500
889,NAmes,8,6,2217,2,0,8,2007,268000
890,NAmes,6,4,1505,1,0,6,2009,149500
891,NAmes,5,7,924,1,0,6,2007,122900
892,Sawyer,6,5,1683,2,1,7,2009,172500
893,Sawyer,6,8,1068,1,0,6,2006,154500
894,Sawyer,5,5,1383,1,0,6,2008,165000
895,SawyerW,5,5,1535,2,0,8,2009,118858
896,NAmes,6,5,1796,1,1,8,2008,140000
897,IDOTRR,4,6,951,1,0,6,2006,106500
898,SawyerW,5,5,2240,2,0,12,2009,142953
899,NridgHt,9,5,2364,2,1,11,2010,611657
900,Sawyer,5,7,1236,1,0,6,2006,135000
901,NAmes,4,6,858,1,0,4,2007,110000
902,NAmes,5,7,1306,1,0,5,2009,153000
903,Gilbert,7,5,1509,2,1,8,2006,180000
904,Gilbert,7,5,1670,2,0,7,2006,240000
905,Sawyer,5,6,902,1,0,6,2007,125500
906,NAmes,5,5,1063,1,0,6,2010,128000
907,Somerst,8,5,1636,2,0,8,2007,255000
908,Crawfor,7,7,2057,1,1,6,2006,250000
909,Mitchel,5,5,902,1,0,5,2006,131000
910,Gilbert,6,5,1484,2,1,8,2009,174000
911,NAmes,5,5,2274,2,0,12,2010,154300
912,CollgCr,5,7,1268,1,1,5,2009,143500
913,BrkSide,5,7,1015,1,0,6,2006,88000
914,Crawfor,5,6,2002,2,0,8,2007,145000
915,Somerst,6,5,1224,2,1,4,2009,173733
916,MeadowV,4,5,1092,1,1,6,2007,75000
917,IDOTRR,2,3,480,0,0,4,2006,35311
918,Edwards,4,6,1229,1,0,6,2009,135000
919,SawyerW,7,5,2127,2,1,8,2007,238000
920,NAmes,6,8,1414,1,0,6,2008,176500
921,SawyerW,6,5,1721,2,1,7,2007,201000
922,Edwards,5,7,2200,2,2,9,2008,145900
923,Gilbert,6,5,1316,2,0,6,2006,169990
924,SawyerW,6,5,1617,2,0,5,2008,193000
925,NWAmes,6,6,1686,2,0,7,2006,207500
926,NWAmes,5,6,1126,2,0,6,2008,175000
927,NridgHt,8,5,2374,2,1,10,2007,285000
928,NWAmes,7,5,1978,2,1,9,2008,176000
929,CollgCr,8,5,1788,2,0,7,2009,236500
930,Gilbert,7,5,2236,2,1,8,2006,222000
931,Timber,8,5,1466,2,0,7,2009,201000
932,NAmes,5,6,925,1,0,5,2009,117500
933,Somerst,9,5,1905,2,0,8,2007,320000
934,CollgCr,7,5,1500,2,0,6,2009,190000
935,NAmes,7,7,2069,2,0,9,2008,242000
936,BrkSide,4,5,747,1,0,5,2006,79900
937,SawyerW,7,5,1200,2,0,5,2009,184900
938,Somerst,7,5,1971,2,1,8,2009,253000
939,CollgCr,7,5,1962,2,1,7,2006,239799
940,ClearCr,7,7,2403,2,0,10,2010,244400
941,Mitchel,6,5,1728,2,0,8,2006,150900
942,Gilbert,7,5,2060,2,1,8,2009,214000
943,Edwards,4,3,1440,2,0,8,2007,150000
944,Mitchel,5,4,1632,2,0,8,2007,143000
945,Timber,6,6,1344,1,0,7,2009,137500
946,OldTown,5,6,1869,1,0,7,2009,124900
947,NAmes,5,6,1144,1,0,6,2006,143000
948,Timber,8,5,1629,2,0,9,2007,270000
949,CollgCr,7,5,1776,2,1,7,2006,192500
950,NWAmes,6,7,1381,1,1,5,2010,197500
951,NAmes,5,8,864,1,0,5,2007,129000
952,SawyerW,5,5,965,1,0,6,2006,119900
953,CollgCr,5,8,768,1,0,5,2009,133900
954,Mitchel,5,4,1968,2,1,7,2008,172000
955,Edwards,6,5,980,2,0,4,2006,127500
956,Crawfor,6,6,1958,2,0,8,2007,145000
957,Blueste,6,6,1229,1,1,5,2009,124000
958,Sawyer,5,5,1057,1,0,6,2007,132000
959,CollgCr,7,5,1337,2,0,6,2007,185000
960,Somerst,7,5,1416,2,1,6,2010,155000
961,BrkSide,5,7,858,1,0,4,2010,116500
962,NWAmes,6,7,2872,2,1,11,2008,272000
963,NPkVill,6,6,1548,2,1,7,2007,155000
964,CollgCr,9,5,1800,2,0,7,2009,239000
965,Timber,7,5,1894,2,1,8,2010,214900
966,Gilbert,6,5,1484,2,1,8,2007,178900
967,Crawfor,5,7,1308,1,1,7,2009,160000
968,NAmes,5,7,1098,1,0,6,2008,135000
969,OldTown,3,6,968,1,0,6,2009,37900
970,NAmes,6,5,1095,1,0,6,2006,140000
971,NAmes,4,4,1192,1,1,6,2006,135000
972,NridgHt,7,5,1626,2,0,6,2009,173000
973,SawyerW,6,5,918,2,0,5,2010,99500
974,Somerst,7,5,1428,2,0,6,2008,182000
975,BrkSide,7,8,2019,1,0,8,2009,167500
976,Somerst,7,5,1382,2,1,6,2006,165000
977,BrkSide,4,7,869,1,0,4,2006,85500
978,Somerst,7,5,1241,1,1,4,2007,199900
979,Edwards,4,5,894,1,0,5,2007,110000
980,Sawyer,5,6,1121,1,0,5,2009,139000
981,NAmes,7,9,999,1,0,6,2008,178400
982,NoRidge,8,5,2612,2,1,8,2009,336000
983,Blmngtn,7,5,1266,2,0,6,2008,159895
984,CollgCr,8,5,2290,2,1,9,2008,255900
985,Mitchel,5,5,1734,2,0,8,2009,126000
986,Edwards,5,5,1164,1,0,5,2008,125000
987,OldTown,6,8,1635,1,0,5,2006,117000
988,NridgHt,9,5,1940,2,1,8,2010,395192
989,NWAmes,6,6,2030,2,1,8,2007,195000
990,Somerst,7,5,1576,2,1,6,2006,197000
991,NoRidge,8,5,2392,2,1,7,2006,348000
992,OldTown,8,9,1742,1,1,8,2009,168000
993,NAmes,6,8,1851,2,1,7,2007,187000
994,CollgCr,6,5,1500,2,1,6,2006,173900
995,NridgHt,10,5,1718,2,0,7,2009,337500
996,BrkSide,4,7,1230,1,1,5,2006,121600
997,NAmes,5,6,1050,1,0,6,2006,136500
998,NWAmes,6,6,1442,2,0,6,2009,185000
999,IDOTRR,3,4,1077,1,0,6,2006,91000
1000,CollgCr,7,5,1208,2,0,6,2010,206000
1001,Edwards,3,3,944,1,0,4,2009,82000
1002,OldTown,5,6,691,1,0,4,2007,86000
1003,Somerst,8,5,1574,2,0,7,2008,232000
1004,NWAmes,5,6,1680,2,0,8,2007,136905
1005,Blmngtn,7,5,1504,2,0,7,2009,181000
1006,CollgCr,5,8,985,2,0,6,2008,149900
1007,NAmes,6,3,1657,2,0,7,2007,163500
1008,MeadowV,4,4,1092,1,1,6,2009,88000
1009,Mitchel,7,5,1710,2,0,7,2009,240000
1010,SWISU,5,5,1522,2,0,7,2006,102000
1011,Sawyer,5,5,1271,2,0,7,2008,135000
1012,Edwards,5,5,1664,2,0,8,2010,100000
1013,Crawfor,6,7,1502,1,1,7,2007,165000
1014,OldTown,5,4,1022,1,0,4,2009,85000
1015,NAmes,6,5,1082,1,0,5,2007,119200
1016,NWAmes,8,6,1665,2,1,6,2009,227000
1017,CollgCr,7,5,1504,2,0,6,2009,203000
1018,StoneBr,8,5,1360,1,0,4,2009,187500
1019,Gilbert,7,5,1472,2,1,7,2007,160000
1020,Blmngtn,7,5,1506,2,0,6,2006,213490
1021,Edwards,4,5,1132,1,1,5,2008,176000
1022,CollgCr,7,5,1220,2,0,6,2006,194000
1023,OldTown,5,5,1248,1,0,6,2007,87000
1024,Blmngtn,7,5,1504,2,0,7,2008,191000
1025,Timber,8,6,2898,2,0,10,2008,287000
1026,CollgCr,5,5,882,1,0,5,2007,112500
1027,NAmes,5,5,1264,1,0,6,2010,167500
1028,Timber,8,5,1646,2,0,7,2008,293077
1029,NAmes,5,5,1376,1,0,6,2007,105000
1030,BrDale,6,7,1218,1,1,7,2006,118000
1031,SWISU,5,8,1928,2,0,10,2006,160000
1032,SWISU,7,3,3082,2,1,12,2009,197000
1033,NoRidge,8,7,2520,2,1,10,2006,310000
1034,CollgCr,7,5,1654,2,0,6,2006,230000
1035,Crawfor,5,7,954,1,0,5,2007,119750
1036,Edwards,4,3,845,1,0,5,2009,84000
1037,Timber,9,5,1620,2,0,6,2009,315500
1038,CollgCr,8,5,2263,2,1,7,2008,287000
1039,MeadowV,4,6,1344,1,1,6,2009,97000
1040,MeadowV,4,4,630,1,0,3,2009,80000
1041,Sawyer,5,4,1803,2,0,8,2006,155000
1042,NWAmes,6,8,1632,1,1,7,2008,173000
1043,NridgHt,6,5,1306,2,0,5,2009,196000
1044,SawyerW,7,5,2329,2,1,10,2008,262280
1045,NWAmes,8,5,2524,2,1,9,2009,278000
1046,Edwards,3,5,1733,2,0,8,2009,139600
1047,StoneBr,9,5,2868,3,1,11,2006,556581
1048,CollgCr,5,5,990,1,0,5,2008,145000
1049,Mitchel,5,4,1771,1,0,9,2009,115000
